ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
5178273078721,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44937,44687,44062,44125,44937,4864,597,1433,0.3425,19.2775,6.6
5178373072395,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43843,44968,44656,44093,44093,44968,4864,597,1433,0.3375,19.28,6.5
5178473315578,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44718,44781,44187,44156,44750,4864,597,1433,0.33875,19.2812,6.49
5178573326916,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43750,45000,44718,44062,44156,45000,4864,597,1433,0.34,19.2812,6.55
5178673077351,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43875,44843,44750,44125,44187,44843,4864,597,1433,0.37125,19.2737,7.16
5178773069136,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44875,44843,44187,44125,44875,4864,597,1433,0.33375,19.2838,6.44
5178873070457,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,45000,44843,44187,44093,45000,4824,557,1433,0.34125,19.2812,6.58
5178973068130,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44750,44750,44125,44125,44906,4824,557,1433,0.34,19.2812,6.55
5179073069740,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44812,44656,44062,44125,44812,4824,557,1433,0.34125,19.28,6.58
5179173089430,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,44000,44750,44750,44156,44156,44812,4864,597,1433,0.345,19.2838,6.55
5179273082495,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44875,44781,44062,44062,44875,4904,636,1435,0.3775,19.2725,7.27
5179373072776,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43781,44750,44718,44062,44187,44812,4944,636,1433,0.3375,19.28,6.5
5179473073841,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43875,44937,44687,44031,44125,44937,4904,597,1433,0.3425,19.2825,6.69
5179573082202,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43937,45062,44718,44031,44187,45062,4904,597,1433,0.3525,19.2838,6.8
5179673068866,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44718,44875,44187,44125,44875,4904,597,1433,0.345,19.2763,6.66
5179773279824,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44843,44781,44187,44125,44937,4864,597,1433,0.36375,19.2763,6.91
5179873075603,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44875,44781,44156,44156,44875,4864,597,1433,0.36,19.2787,6.94
5179973063964,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44781,44781,44093,44156,44781,4824,557,1433,0.36625,19.28,7.07
5180073063140,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43718,44968,44750,44062,44156,44968,4824,557,1433,0.35875,19.2763,6.91
5180173064845,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43750,44781,44750,44031,44125,44781,4824,557,1433,0.35875,19.2787,6.94
5180273062326,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43781,44781,44687,44031,44187,44968,4784,557,1433,0.365,19.275,7.04
5180373072862,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44937,44875,44250,44156,44937,4784,557,1433,0.3625,19.2763,6.99
5180473075879,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44718,44812,44093,44187,44718,4824,557,1433,0.35625,19.2725,7.13
