ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC
15704739443673,99994446,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,71968,68843,67656,69218,71968
15704839448455,100004782,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72250,68812,67656,69125,72250
15704939434997,99986542,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72156,68875,67531,69125,72156
15705039456771,100021774,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,71968,68687,67687,69093,71968
15705139445904,99989133,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,71968,68781,67625,69156,71968
15705239437534,99991630,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69500,72250,68843,67531,69281,72031
15705339436876,99999342,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,71968,68843,67531,69218,71968
15705439467322,100030446,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,71875,68875,67531,69187,71875
15705539438792,99971470,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,71968,68906,67437,69187,71968
15705639450582,100011790,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,71937,68781,67687,69156,71937
15705739448323,99997741,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,71906,68781,67656,69125,71906
15705839450449,100002126,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,71968,68875,67593,69062,71968
15705939434463,99984014,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69187,72062,68843,67593,69218,72062
15706039438541,100004078,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,71968,68781,67593,69312,72062
15706139447931,100009390,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72031,68750,67593,69250,72031
15706239454537,100006606,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69531,72000,68875,67593,69281,72000
15706339435062,99980525,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,71937,68906,67562,69218,72093
15706439436164,100001102,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69187,72031,68906,67500,69281,72031
15706539442578,100006414,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,72031,68687,67656,69218,72031
15706639447232,100004654,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69093,72156,68750,67656,69125,72156
15706739449582,100002350,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72062,68843,67656,69218,72062
15706839441435,99991853,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69093,72062,68812,67593,69218,72062
15706939441385,99999950,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72125,68718,67593,69187,72125
15707039446327,100004942,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,72156,68906,67625,69156,72156
15707139453797,100007470,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69468,72093,68937,67531,69250,71968
15707239562613,100108816,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,71843,68875,67500,69218,71843
15707339448640,99886027,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72250,68906,67750,69250,72250
15707439439822,99991182,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69187,71906,68781,67656,69281,71906
15707539444060,100004238,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,71937,68875,67593,69156,71937
15707639443754,99999694,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72250,68750,67625,69187,72062
15707739445527,100001773,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72062,68875,67625,69156,72062
15707839438181,99992654,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,72062,68937,67656,69312,72062
15707939443603,100005422,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72062,69000,67593,69218,72031
15708039439681,99996078,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72062,68906,67468,69250,72062
15708139644691,100205010,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69437,71937,68812,67750,69250,71937
15708239451037,99806346,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72062,68812,67656,69312,72062
15708339449130,99998093,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72062,68781,67656,69125,72062
15708439449432,100000302,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72031,68812,67562,69187,72062
15708539438758,99989326,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72062,68812,67562,69343,72062
15708639440787,100002029,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72062,68750,67531,69281,72062
15708739446753,100005966,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72000,68781,67593,69281,72187
15708839457743,100010990,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,72156,68812,67531,69187,72156
15708939442685,99984942,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69468,72062,68906,67656,69218,72062
15709039452939,100010254,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69093,72031,68875,67687,69250,72156
15709139442744,99989805,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72187,68843,67656,69218,72187
15709239433446,99990702,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69125,72125,68718,67625,69187,72125
15709339455316,100021870,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72187,68875,67593,69250,72187
15709439471842,100016526,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69187,72156,68812,67593,69187,72156
15709539454480,99982638,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72125,68750,67593,69281,71937
15709639444509,99990029,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72000,68906,67593,69218,72000
15709739448459,100003950,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69500,72187,68875,67593,69250,72187
15709839446169,99997710,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,71937,68906,67593,69156,71937
15709939453191,100007022,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72000,68906,67656,69125,72000
15710039447893,99994702,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72281,68843,67625,69156,72062
15710139437282,99989389,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,71906,68781,67656,69218,71906
15710239434896,99997614,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72000,68718,67593,69250,72000
15710339442206,100007310,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72000,68718,67625,69187,72062
15710439447532,100005326,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69500,72000,68937,67593,69187,72000
15710539442329,99994797,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69531,72031,68906,67625,69125,72031
15710639444167,100001838,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69187,72031,68781,67562,69281,72062
15710739446581,100002414,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72031,68937,67687,69187,72031
15710839449411,100002830,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72000,68875,67656,69156,72000
15710939441584,99992173,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72062,68781,67625,69218,72062
15711039443582,100001998,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72062,68750,67656,69218,72062
15711139443084,99999502,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72062,68750,67625,69281,72250
15711239443802,100000718,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72062,68906,67562,69312,72062
15711339467848,100024046,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72031,68906,67656,69187,72031
15711439438901,99971053,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72062,68875,67593,69125,72250
15711539446339,100007438,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72093,68875,67656,69218,72093
