ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC
19694341892187,99994094,576000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47906,48781,48562,48000,47937,48781
19694441896073,100003886,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48687,48500,48000,47937,48687
19694541908376,100012303,499200,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48906,48468,48156,47875,48906
19694641901381,99993005,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47593,48750,48468,48187,47875,48750
19694741905748,100004367,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48781,48468,48093,47906,48781
19694841908258,100002510,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48875,48406,48031,47937,48875
19694941906832,99998574,960000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47843,48875,48468,48031,48000,48875
19695041898334,99991502,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48656,48500,48031,47843,48656
19695141902668,100004334,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,49000,48593,48062,47875,49000
19695241919674,100017006,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47937,48875,48625,48000,47843,48875
19695341904872,99985198,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48750,48468,48218,47843,48656
19695441893782,99988910,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47593,48656,48500,48093,47906,48656
19695541903396,100009614,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48906,48500,48125,47937,48906
19695641896338,99992942,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47968,48656,48531,48093,47937,48656
