ts_ns,dt_ns,inst_rate_hz,avg_rate_hz,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
3937804014784,3253216,307.388,468.470,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48312,48187,47750,47500,48406,5302,915,1472,0.344,19.284,6.630
3937807644424,3629640,275.509,465.179,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48406,48218,47718,47593,48406,5302,915,1472,0.356,19.279,6.870
3937809622831,1978407,505.457,465.550,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48406,48218,47750,47625,48312,5302,915,1472,0.398,19.288,7.670
3937811417618,1794787,557.169,466.309,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48312,48281,47750,47593,48312,5302,915,1472,0.369,19.279,7.100
3937814412333,2994715,333.922,464.503,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48468,48312,47781,47593,48468,5302,915,1472,0.389,19.288,7.500
3937816198416,1786083,559.884,465.273,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48468,48156,47656,47562,48468,5302,915,1472,0.357,19.277,6.890
3937818085589,1887173,529.893,465.819,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48312,48125,47750,47562,48312,5302,915,1472,0.380,19.282,7.310
3937821428119,3342530,299.175,463.361,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48312,48125,47687,47625,48312,5302,915,1472,0.380,19.279,7.320
3937822827954,1399835,714.370,464.902,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48468,48250,47687,47625,48468,5302,915,1472,0.389,19.285,7.500
3937824821241,1993287,501.684,465.221,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48468,48250,47687,47562,48468,5302,915,1472,0.364,19.288,7.010
3937826467386,1646145,607.480,466.232,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48312,48250,47687,47687,48312,5302,915,1472,0.394,19.288,7.010
3937827916438,1449052,690.106,467.624,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48312,48250,47812,47531,48312,5302,915,1472,0.371,19.274,7.590
3937830358982,2442544,409.409,467.020,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48437,48125,47812,47656,48437,5302,915,1472,0.371,19.277,7.160
3937831775906,1416924,705.754,468.447,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48437,48218,47718,47593,48750,5302,915,1472,0.351,19.281,6.770
3937835404809,3628903,275.565,465.538,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48750,48218,47718,47625,48750,5302,915,1472,0.388,19.281,6.770
3937836798821,1394012,717.354,466.989,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48406,48187,47687,47593,48406,5302,915,1472,0.359,19.288,6.920
3937840277513,3478692,287.464,464.444,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48406,48187,47718,47593,48406,5302,915,1472,0.401,19.288,6.920
3937841713317,1435804,696.474,465.794,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48406,48250,47718,47562,48750,5302,915,1472,0.379,19.284,7.740
3937843819215,2105898,474.857,465.871,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48750,48218,47781,47593,48750,5302,915,1472,0.361,19.288,7.310
3937845767861,1948646,513.177,466.238,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48500,48156,47750,47625,48500,5302,915,1472,0.361,19.277,6.960
3937847179025,1411164,708.635,467.593,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48500,48125,47687,47562,48625,5302,915,1472,0.343,19.285,6.600
3937851036701,3857676,259.223,464.456,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48625,48250,47625,47593,48625,5302,915,1472,0.386,19.285,6.600
3937852468473,1431772,698.435,465.756,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48625,48218,47750,47562,48625,5302,915,1472,0.347,19.277,7.450
3937854467136,1998663,500.334,466.022,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48343,48281,47687,47656,48343,5302,915,1472,0.347,19.285,6.710
3937856177858,1710722,584.549,466.798,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48343,48281,47718,47562,48375,5302,915,1472,0.374,19.279,7.210
3937857809698,1631840,612.805,467.704,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48625,48375,47718,47531,48625,5302,915,1472,0.391,19.279,7.210
3937859183997,1374299,727.644,469.056,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48625,48062,47781,47562,48625,5302,915,1472,0.365,19.281,7.540
3937861529099,2345102,426.421,468.681,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48343,48187,47656,47593,48343,5294,915,1472,0.359,19.285,6.910
3937863927546,2398447,416.936,468.220,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48343,48156,47718,47562,48343,5294,915,1472,0.355,19.281,6.910
