ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,gpu_hz,gpu_min_hz,gpu_max_hz,temp_cpu_mC,temp_gpu_mC,gpu_governor
4314084700147,1344000,1344000,1344000,918000000,918000000,918000000,47125,48875,nvhost_podgov
4314186462596,1344000,1344000,1344000,918000000,918000000,918000000,47406,48781,nvhost_podgov
4314287168114,1344000,1344000,1344000,918000000,918000000,918000000,47437,48937,nvhost_podgov
4314387850240,1344000,1344000,1344000,918000000,918000000,918000000,47437,48937,nvhost_podgov
4314488700820,1344000,1344000,1344000,918000000,918000000,918000000,47343,48687,nvhost_podgov
4314589360481,1344000,1344000,1344000,918000000,918000000,918000000,47250,48750,nvhost_podgov
4314690087311,1344000,1344000,1344000,918000000,918000000,918000000,47312,48718,nvhost_podgov
4314790776187,1344000,1344000,1344000,918000000,918000000,918000000,47250,48718,nvhost_podgov
4314891416710,1344000,1344000,1344000,918000000,918000000,918000000,47312,48750,nvhost_podgov
4314992357370,1344000,1344000,1344000,918000000,918000000,918000000,47156,48968,nvhost_podgov
4315093048870,1344000,1344000,1344000,918000000,918000000,918000000,47281,48687,nvhost_podgov
4315194366278,1344000,1344000,1344000,918000000,918000000,918000000,47343,48656,nvhost_podgov
4315295584547,1344000,1344000,1344000,918000000,918000000,918000000,47187,48656,nvhost_podgov
4315396306960,1344000,1344000,1344000,918000000,918000000,918000000,47187,48718,nvhost_podgov
4315496978236,1344000,1344000,1344000,918000000,918000000,918000000,47437,48781,nvhost_podgov
4315597621350,1344000,1344000,1344000,918000000,918000000,918000000,47500,48781,nvhost_podgov
4315698323281,1344000,1344000,1344000,918000000,918000000,918000000,47250,48968,nvhost_podgov
4315799008891,1344000,1344000,1344000,918000000,918000000,918000000,47406,48812,nvhost_podgov
4315899783496,1344000,1344000,1344000,918000000,918000000,918000000,47531,48687,nvhost_podgov
4316000580117,1344000,1344000,1344000,918000000,918000000,918000000,47437,48718,nvhost_podgov
4316101498726,1344000,1344000,1344000,918000000,918000000,918000000,47312,48781,nvhost_podgov
4316202191408,1344000,1344000,1344000,918000000,918000000,918000000,47312,48812,nvhost_podgov
4316303483373,1344000,1344000,1344000,918000000,918000000,918000000,47343,48687,nvhost_podgov
4316404204056,1344000,1344000,1344000,918000000,918000000,918000000,47281,48906,nvhost_podgov
4316504875777,1344000,1344000,1344000,918000000,918000000,918000000,47281,48781,nvhost_podgov
4316605532138,1344000,1344000,1344000,918000000,918000000,918000000,47218,48687,nvhost_podgov
4316706453786,1344000,1344000,1344000,918000000,918000000,918000000,47250,48593,nvhost_podgov
4316807192611,1344000,1344000,1344000,918000000,918000000,918000000,47187,48687,nvhost_podgov
4316907868139,1344000,1344000,1344000,918000000,918000000,918000000,47281,48781,nvhost_podgov
4317008818491,1344000,1344000,1344000,918000000,918000000,918000000,47281,48750,nvhost_podgov
4317110040755,1344000,1344000,1344000,918000000,918000000,918000000,47343,48875,nvhost_podgov
4317210756060,1344000,1344000,1344000,918000000,918000000,918000000,47187,48625,nvhost_podgov
4317311412674,1344000,1344000,1344000,918000000,918000000,918000000,47343,49000,nvhost_podgov
4317412201101,1344000,1344000,1344000,918000000,918000000,918000000,47343,48656,nvhost_podgov
4317513105404,1344000,1344000,1344000,918000000,918000000,918000000,47343,48562,nvhost_podgov
4317613753634,1344000,1344000,1344000,918000000,918000000,918000000,47281,48656,nvhost_podgov
4317714706449,1344000,1344000,1344000,918000000,918000000,918000000,47406,48656,nvhost_podgov
4317815342421,1344000,1344000,1344000,918000000,918000000,918000000,47281,48843,nvhost_podgov
4317916501705,1344000,1344000,1344000,918000000,918000000,918000000,47375,48593,nvhost_podgov
4318017292690,1344000,1344000,1344000,918000000,918000000,918000000,47312,48937,nvhost_podgov
4318118523977,1344000,1344000,1344000,918000000,918000000,918000000,47312,48625,nvhost_podgov
4318219258384,1344000,1344000,1344000,918000000,918000000,918000000,47375,48781,nvhost_podgov
4318319957654,1344000,1344000,1344000,918000000,918000000,918000000,47343,48656,nvhost_podgov
4318420831361,1344000,1344000,1344000,918000000,918000000,918000000,47187,48875,nvhost_podgov
4318521496742,1344000,1344000,1344000,918000000,918000000,918000000,47312,48781,nvhost_podgov
4318622203148,1344000,1344000,1344000,918000000,918000000,918000000,47468,48656,nvhost_podgov
4318723093975,1344000,1344000,1344000,918000000,918000000,918000000,47375,48843,nvhost_podgov
4318823784954,1344000,1344000,1344000,918000000,918000000,918000000,47093,48625,nvhost_podgov
4318924634306,1344000,1344000,1344000,918000000,918000000,918000000,47468,48687,nvhost_podgov
4319025318373,1344000,1344000,1344000,918000000,918000000,918000000,47468,48718,nvhost_podgov
4319126525722,1344000,1344000,1344000,918000000,918000000,918000000,47437,48812,nvhost_podgov
4319227234845,1344000,1344000,1344000,918000000,918000000,918000000,47281,48781,nvhost_podgov
4319327941153,1344000,1344000,1344000,918000000,918000000,918000000,47375,48875,nvhost_podgov
4319428811146,1344000,1344000,1344000,918000000,918000000,918000000,47343,48906,nvhost_podgov
4319529539311,1344000,1344000,1344000,918000000,918000000,918000000,47312,48656,nvhost_podgov
4319630258163,1344000,1344000,1344000,918000000,918000000,918000000,47312,48812,nvhost_podgov
4319731135131,1344000,1344000,1344000,918000000,918000000,918000000,47218,48687,nvhost_podgov
4319831865950,1344000,1344000,1344000,918000000,918000000,918000000,47250,48875,nvhost_podgov
4319932656162,1344000,1344000,1344000,918000000,918000000,918000000,47218,48750,nvhost_podgov
4320033329219,1344000,1344000,1344000,918000000,918000000,918000000,47125,48906,nvhost_podgov
4320134096006,1344000,1344000,1344000,918000000,918000000,918000000,47187,48750,nvhost_podgov
4320234766279,1344000,1344000,1344000,918000000,918000000,918000000,47375,48656,nvhost_podgov
4320335477385,1344000,1344000,1344000,918000000,918000000,918000000,47281,48718,nvhost_podgov
4320436640889,1344000,1344000,1344000,918000000,918000000,918000000,47281,48656,nvhost_podgov
4320537349467,1344000,1344000,1344000,918000000,918000000,918000000,47406,48781,nvhost_podgov
4320638061597,1344000,1344000,1344000,918000000,918000000,918000000,47468,48781,nvhost_podgov
4320738719643,1344000,1344000,1344000,918000000,918000000,918000000,47218,48906,nvhost_podgov
4320839442203,1344000,1344000,1344000,918000000,918000000,918000000,47343,48843,nvhost_podgov
4320940209885,1344000,1344000,1344000,918000000,918000000,918000000,47437,48687,nvhost_podgov
4321041157284,1344000,1344000,1344000,918000000,918000000,918000000,47250,48687,nvhost_podgov
4321142960455,1344000,1344000,1344000,918000000,918000000,918000000,47281,48625,nvhost_podgov
4321244030226,1344000,1344000,1344000,918000000,918000000,918000000,47375,48812,nvhost_podgov
4321344913272,1344000,1344000,1344000,918000000,918000000,918000000,47218,49031,nvhost_podgov
4321445808061,1344000,1344000,1344000,918000000,918000000,918000000,47281,48875,nvhost_podgov
4321547000813,1344000,1344000,1344000,918000000,918000000,918000000,47312,48656,nvhost_podgov
4321647929427,1344000,1344000,1344000,918000000,918000000,918000000,47218,48718,nvhost_podgov
4321748890841,1344000,1344000,1344000,918000000,918000000,918000000,47281,48750,nvhost_podgov
4321849903009,1344000,1344000,1344000,918000000,918000000,918000000,47187,48812,nvhost_podgov
4321951764835,1344000,1344000,1344000,918000000,918000000,918000000,47218,48625,nvhost_podgov
4322052919759,1344000,1344000,1344000,918000000,918000000,918000000,47218,48937,nvhost_podgov
